,TIME,ID,TYPE,VALUE,PARAM
3252,1739531414.0186107,#loeric_4#,send,63,human_impact
3253,1739531414.3118136,#1739530945#,receive,37,intensity
3254,1739531414.528563,#1739530945#,receive,28,intensity
3255,1739531414.6217225,#1739530945#,receive,27,intensity
3256,1739531414.7495902,#loeric_2#,receive,54,intensity
3257,1739531414.7495902,#loeric_2#,send,45,intensity
3258,1739531414.7495902,#loeric_2#,send,82,human_impact
3259,1739531414.860331,#1739530945#,receive,26,intensity
3260,1739531414.9805694,#1739530945#,receive,24,intensity
3261,1739531415.3389292,#1739530945#,receive,27,intensity
3262,1739531415.408256,#1739530945#,receive,29,intensity
3263,1739531415.5129466,#1739530945#,receive,32,intensity
3264,1739531415.5595458,#loeric_3#,receive,29,intensity
3265,1739531415.5595458,#loeric_3#,send,16,intensity
3266,1739531415.5595458,#loeric_3#,send,101,human_impact
3267,1739531415.597328,#1739530945#,receive,34,intensity
3268,1739531415.8865273,#1739530945#,receive,38,intensity
3269,1739531415.9936855,#1739530945#,receive,40,intensity
3270,1739531416.2535152,#1739530945#,receive,41,intensity
3271,1739531416.3456998,#1739530945#,receive,42,intensity
3272,1739531416.7482905,#1739530945#,receive,51,intensity
3273,1739531416.8647938,#1739530945#,receive,53,intensity
3274,1739531417.1302722,#loeric_3#,receive,46,intensity
3275,1739531417.1302722,#loeric_3#,send,16,intensity
3276,1739531417.1302722,#loeric_3#,send,101,human_impact
3277,1739531417.2340295,#1739530945#,receive,63,intensity
3278,1739531417.4823074,#loeric_1#,receive,37,intensity
3279,1739531417.4823074,#loeric_1#,send,23,intensity
3280,1739531417.4823074,#loeric_1#,send,101,human_impact
3281,1739531417.504506,#1739530945#,receive,62,intensity
3282,1739531417.7254238,#1739530945#,receive,60,intensity
3283,1739531417.7312841,#loeric_3#,receive,32,intensity
3284,1739531417.7312841,#loeric_3#,send,18,intensity
3285,1739531417.7312841,#loeric_3#,send,101,human_impact
3286,1739531417.8561628,#1739530945#,receive,59,intensity
3287,1739531418.0053113,#loeric_3#,receive,41,intensity
3288,1739531418.0053113,#loeric_3#,send,18,intensity
3289,1739531418.0053113,#loeric_3#,send,101,human_impact
3290,1739531418.3295557,#1739530945#,receive,49,intensity
3291,1739531418.3507226,#1739530945#,receive,47,intensity
3292,1739531418.4183588,#1739530945#,receive,44,intensity
