TUNE,CONFIG,BPM,REPEAT,KEY,DO END NOTE,SLOW START,SLOW END
/home/marco/git/loeric-other/tunes/mid/paddy_taylors1.mid,/home/marco/git/loeric-other/tunes/config/jig.json,180,10,D major,False,True,False
/home/marco/git/loeric-other/tunes/mid/coleman1.mid,/home/marco/git/loeric-other/tunes/config/jig.json,190,10,G major,False,False,False
/home/marco/git/loeric-other/tunes/mid/13th_November_83574_edited.mid,/home/marco/git/loeric-other/tunes/config/jig.json,200,10,G major,True,False,True

